Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
11 Com b,11 Com,Radial Velocity,Xinglong Station,G8 III,[Fe/H],1,2,1,2007,326.03,1.29,6165.6,0.231,,,4742.0,19.0,2.7,-0.35,2.31,93.1846,4.44038
11 UMi b,11 UMi,Radial Velocity,Thueringer Landessternwarte Tautenburg,,[Fe/H],2,1,1,2009,516.21997,1.53,4684.8142,0.08,,,4213.0,29.79,2.78,-0.02,1.93,125.321,4.56216
14 And b,14 And,Radial Velocity,Okayama Astrophysical Observatory,K0 III,[Fe/H],3,1,1,2008,185.84,0.83,1525.5,0.0,,,4813.0,11.0,2.2,-0.24,2.63,75.4392,4.91781
14 Her b,14 Her,Radial Velocity,W. M. Keck Observatory,,[Fe/H],4,1,2,2002,1773.40002,2.93,1481.0878,0.37,,,5338.0,0.93,0.9,0.41,4.45,17.9323,6.383
16 Cyg B b,16 Cyg B,Radial Velocity,Multiple Observatories,,[Fe/H],5,3,1,1996,798.5,1.66,565.7374,0.68,,,5750.0,1.13,1.08,0.06,4.36,21.1397,6.06428
17 Sco b,17 Sco,Radial Velocity,Lick Observatory,K3 III,[Fe/H],6,1,1,2020,578.38,1.45,1373.01872,0.06,,,4157.0,25.92,1.22,-0.01,1.7,124.953,4.75429
18 Del b,18 Del,Radial Velocity,Okayama Astrophysical Observatory,G6 III,[Fe/H],7,2,1,2008,993.3,2.6,3273.5,0.08,,,4979.0,8.5,2.3,-0.052,2.82,76.222,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,Gemini Observatory,K7 V,,8,1,1,2008,,330.0,3000.0,,,1700.0,4060.0,,0.85,,,139.135,12.0572
24 Boo b,24 Boo,Radial Velocity,Okayama Astrophysical Observatory,G3 IV,[Fe/H],9,1,1,2018,30.3506,0.19,289.2253,0.042,,,4893.0,10.64,0.99,-0.77,2.42,95.9863,5.3339
24 Sex b,24 Sex,Radial Velocity,Lick Observatory,,[Fe/H],10,1,2,2010,452.8,1.333,632.46,0.09,,,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.20374
24 Sex c,24 Sex,Radial Velocity,Lick Observatory,,[Fe/H],11,1,2,2010,883.0,2.08,273.32,0.29,,,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,Paranal Observatory,M5.5/M6,,12,2,1,2013,,84.0,4131.79,,,,,,0.19,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,W. M. Keck Observatory,M3.5 V,,13,1,1,2013,,52.0,7786.5,,,,3530.0,,0.4,,,33.8281,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,Cerro Tololo Inter-American Observatory,M6,,14,1,1,2015,,156.0,4417.837,,,,3064.0,0.28,0.11,,4.59,,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,Hubble Space Telescope,M8.5,,15,1,1,2010,,15.0,2383.6,,,,,,0.02,,,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,Paranal Observatory,M8,,16,1,1,2004,,55.0,1589.15,,,1250.0,,,0.02,,,64.308,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,Kepler,,,17,2,1,2015,416.0,0.92,603.877,,,,,,0.48,,,396.332,12.1376
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,Imaging,W. M. Keck Observatory,M8.5,,18,1,1,2009,7336.5,,6657.48,0.26,,2075.0,2300.0,0.12,0.08,,,,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,W. M. Keck Observatory,K7 V,,19,1,1,2016,,230.0,3972.875,,,,4045.0,,0.6,,,69.5737,11.9484
30 Ari B b,30 Ari B,Radial Velocity,Thueringer Landessternwarte Tautenburg,,[Fe/H],20,4,1,2009,335.10001,0.99,4392.4106,0.29,,,6331.0,1.41,1.93,0.19,4.43,44.657,6.96085
4 UMa b,4 UMa,Radial Velocity,Thueringer Landessternwarte Tautenburg,K1 III,[Fe/H],21,1,1,2006,269.3,0.87,2256.5,0.432,,,4415.0,18.11,1.23,-0.25,1.8,73.4603,4.23773
42 Dra b,42 Dra,Radial Velocity,Thueringer Landessternwarte Tautenburg,K1.5 III,[Fe/H],22,2,1,2008,479.1,1.19,1233.13,0.38,,,4200.0,22.03,0.98,-0.46,1.71,90.6545,4.43216
47 UMa b,47 UMa,Radial Velocity,Lick Observatory,,[M/H],23,1,3,1996,1078.0,2.1,804.08,0.032,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
47 UMa c,47 UMa,Radial Velocity,Lick Observatory,,[M/H],24,1,3,2001,2391.0,3.6,171.621,0.098,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
47 UMa d,47 UMa,Radial Velocity,Lick Observatory,,[M/H],25,1,3,2009,14002.0,11.6,521.22,0.16,,,5872.0,1.21,1.06,0.04,4.3,13.7967,4.87837
51 Eri b,51 Eri,Imaging,Gemini Observatory,F0 IV,[M/H],26,3,1,2015,,13.2,635.66,,,700.0,,,1.75,-0.027,,29.7575,5.15806
51 Peg b,51 Peg,Radial Velocity,Haute-Provence Observatory,,[M/H],27,1,1,1995,4.230785,0.0527,150.009,0.013,,,5758.0,1.18,1.03,0.18,4.31,15.4614,5.28647
55 Cnc b,55 Cnc,Radial Velocity,Lick Observatory,,[Fe/H],28,2,5,1996,14.6516,0.1134,255.4,0.0,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc c,55 Cnc,Radial Velocity,McDonald Observatory,,[Fe/H],29,2,5,2004,44.3989,0.2373,51.2,0.03,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc d,55 Cnc,Radial Velocity,Lick Observatory,,[Fe/H],30,2,5,2002,5574.2,5.957,991.6,0.13,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc e,55 Cnc,Radial Velocity,McDonald Observatory,,[Fe/H],31,2,5,2004,0.7365474,0.01544,7.99,0.05,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
55 Cnc f,55 Cnc,Radial Velocity,Multiple Observatories,,[Fe/H],32,2,5,2007,259.88,0.7708,47.8,0.08,,,5172.0,0.94,0.91,0.35,4.43,12.5855,5.72973
6 Lyn b,6 Lyn,Radial Velocity,Okayama Astrophysical Observatory,,,33,1,1,2008,934.3,2.11,638.8383,0.073,,,4938.0,5.2,1.44,,3.19,54.6599,5.60686
61 Vir b,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],34,1,3,2009,4.215,0.050201,5.1,0.12,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
61 Vir c,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],35,1,3,2009,38.021,0.2175,18.2,0.14,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
61 Vir d,61 Vir,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],36,1,3,2009,123.01,0.476,22.9,0.35,,,5577.0,0.96,0.94,-0.01,4.34,8.50332,4.54052
7 CMa b,7 CMa,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],37,1,2,2011,735.1,1.758,587.9855,0.06,,,4826.0,4.87,1.34,0.21,3.19,19.8101,3.67853
7 CMa c,7 CMa,Radial Velocity,Multiple Observatories,,[Fe/H],38,1,2,2019,996.0,2.153,276.5121,0.08,,,4826.0,4.87,1.34,0.21,3.19,19.8101,3.67853
70 Vir b,70 Vir,Radial Velocity,Lick Observatory,,,39,1,1,1996,116.688,0.481,2357.02728,0.3988,,,5495.0,1.89,1.09,,3.95,17.9011,4.76178
75 Cet b,75 Cet,Radial Velocity,Okayama Astrophysical Observatory,G3 III,[Fe/H],40,2,1,2012,691.9,2.1,953.49,0.117,,,4846.0,10.5,2.49,0.0,2.63,82.9613,5.09343
8 UMi b,8 UMi,Radial Velocity,Bohyunsan Optical Astronomical Observatory,,[Fe/H],41,1,1,2015,93.4,0.49,416.3573,0.06,,,4847.0,10.3,1.44,-0.03,2.57,162.552,6.55896
81 Cet b,81 Cet,Radial Velocity,Okayama Astrophysical Observatory,G5 III,[Fe/H],42,1,1,2008,952.7,2.5,1684.4,0.206,,,4785.0,11.0,2.4,-0.06,2.35,101.26,5.37588
91 Aqr b,91 Aqr,Radial Velocity,Lick Observatory,K0 III,[Fe/H],43,3,1,2013,181.4,0.7,1017.0,0.027,,,4665.0,11.0,1.4,-0.03,2.52,44.0304,3.95311
AB Pic b,AB Pic,Imaging,Paranal Observatory,K2 V,,44,1,1,2005,,260.0,4290.5,,,,,,,,,50.0475,8.8378
AU Mic b,AU Mic,Transit,Transiting Exoplanet Survey Satellite (TESS),,,45,1,2,2020,8.463,0.0645,17.0,0.0,,593.0,3700.0,0.75,0.5,,,9.7221,7.84038
AU Mic c,AU Mic,Transit,Transiting Exoplanet Survey Satellite (TESS),,,46,1,2,2021,18.859019,0.1101,13.6,0.0,,454.0,3700.0,0.75,0.5,,,9.7221,7.84038
BD+03 2562 b,BD+03 2562,Radial Velocity,Multiple Observatories,,[Fe/H],47,1,1,2017,481.9,1.3,2034.112,0.2,,,4095.0,32.35,1.14,-0.71,1.89,1070.63,8.9977
BD+14 4559 b,BD+14 4559,Radial Velocity,McDonald Observatory,,[Fe/H],48,1,1,2009,268.94,0.78,330.5432,0.29,,,4864.0,0.86,0.49,0.17,4.26,49.352,9.35108
BD+15 2375 b,BD+15 2375,Radial Velocity,Roque de los Muchachos Observatory,,[Fe/H],49,1,1,2016,153.22,0.576,337.21763,0.001,,,4649.0,8.95,1.08,-0.22,2.61,768.045,9.9918
BD+15 2940 b,BD+15 2940,Radial Velocity,McDonald Observatory,K0,[Fe/H],50,1,1,2013,137.48,0.539,352.78,0.26,,,4796.0,14.7,1.1,0.28,2.8,426.42,8.7178
BD+20 2457 b,BD+20 2457,Radial Velocity,McDonald Observatory,,[Fe/H],51,1,2,2009,379.63,1.05,17668.1697,0.15,,,4259.0,71.02,10.83,-0.79,1.77,1539.71,9.22684
